zmienna;wyrob;okres;wartosc
popyt;6;15;131
zapas_koniec;6;15;154
czy_zamawiac;6;15;1
zamowienie;6;16;0
zapas_poczatek;6;16;154
popyt;6;16;154
zapas_koniec;6;16;0
czy_zamawiac;6;16;0
zamowienie;6;17;188
zapas_poczatek;6;17;188
popyt;6;17;188
zapas_koniec;6;17;0
czy_zamawiac;6;17;1
czy_zamawiac_grupowo;;1;1
czy_zamawiac_grupowo;;2;0
czy_zamawiac_grupowo;;3;1
czy_zamawiac_grupowo;;4;0
czy_zamawiac_grupowo;;5;1
czy_zamawiac_grupowo;;6;0
czy_zamawiac_grupowo;;7;1
czy_zamawiac_grupowo;;8;0
czy_zamawiac_grupowo;;9;1
czy_zamawiac_grupowo;;10;0
czy_zamawiac_grupowo;;11;1
czy_zamawiac_grupowo;;12;0
czy_zamawiac_grupowo;;13;1
czy_zamawiac_grupowo;;14;0
czy_zamawiac_grupowo;;15;1
czy_zamawiac_grupowo;;16;0
czy_zamawiac_grupowo;;17;1
